Date,Year,Month,Day,Title,Tasks,Region mapped,City,Place,Partner,Whom is confirmed to go,Requesting NGO,Nb réel de participants,Nb prévu de participants?,"Stats contribution
Batiments","Stats contribution
Route",Landuse,Waterways,Forest,Cagnotte Boite à Dons,Sponsor nourriture?
17/12/2019,2019,11,17,Mapathon Missing Maps à Lyon @Le Tuba,,,Lyon,Le Tuba,,,,,,,,,,,,
27/11/2019,2019,11,27,Mapathon Missing Maps à Chambéry @o79,,,Chambéry,o79,,,,,,,,,,,,
20/11/2019,2019,11,20,Mapathon Missing Maps à Grenoble @La Turbine.Coop,,,Grenoble,La Turbine.Coop,,,,,,,,,,,,
19/11/2019,2019,11,19,Mapathon Missing Maps à Lyon @Le Tuba,,,Lyon,Le Tuba,,,,,,,,,,,,
14/11/2019,2019,11,14,Mapathon Université Savoie-Mont-Blanc,,,Chambéry,Université Savoie-Mont-Blanc,,,,,,,,,,,,
17/11/2019,2019,11,17,Mapathon Karya,,,Thiez,,,,,,,,,,,,,
13/11/2019,2019,11,13,Mapathon Besançon,,,Besançon,Maison des sciences de l'homme et de l'environnement,,,,,,,,,,,,
07/11/2019,2019,11,7,Mapathon Missing Maps à Paris @La Paillasse,5822,Burkina Faso,Paris,La Paillasse,Yaam Solidarité,Clémence,Yaam Solidarité,,,,,,,,,
15/10/2019,2019,10,15,Mapathon Missing Maps à Lyon @Le Tuba,6760,Guyane,Lyon,Le Tuba,Maroni Lab,Léonie,Maroni Lab,5,8,294,"26 routes (12,1 km)",,,,,
09/10/2019,2019,10,9,Mapathon Missing Maps à Chambéry @La Dynamo,4442,Haïti,Chambéry,La Dynamo,Pays de Savoie Solidaires,"Léonie, Hana",Pays de Savoie Solidaires,21,17,826,"209 routes (51,9 km)",,,,,
07/10/2019,2019,10,7,Mapathon Cours Informatique Centre Social Arc en Ciel,5822,Burkina Faso,Paris,Arc en ciel,Yaam Solidarité,Jean Yves,Yaam Solidarité,4,6,19,0,,,,,
26/09/2019,2019,9,26,Mapathon Arvalis,5822,Burkina Faso,Paris,Arvalis,Yaam Solidarité,"Jean Paul, Jean Yves",Yaam Solidarité,6,8,1300,2 routes (0.07 km),,,,,
25/09/2019,2019,9,25,Mapathon Missing Maps à Grenoble @La Turbine.Coop,6760,Guyane,Grenoble,La Turbine.Coop,Maroni Lab,Hana,Maroni Lab,7,10,340,78 routes (33.3 km),,,,,
17/09/2019,2019,9,17,Mapathon Missing Maps à Lyon @Le Tuba,5822,Burkina Faso,Lyon,Le Tuba,Yaam Solidarité,"Léonie, Hana",Yaam Solidarité,11,14,2835,"137 routes (30,2 km)",,,,,
12/09/2019,2019,9,12,Mapathon Missing Maps à Paris @La Paillasse,6069,Kenya,Paris,La Paillasse,HCR,Léonie,HCR,11,15,1413,"96 routes (20,2 km)",,,,,
03/07/2019,2019,7,3,Mapathon Missing Maps à Grenoble @La Turbine.Coop,6174,Kenya,Grenoble,La Turbine.Coop,HCR,Hana,HCR,9,10,2614,3.9,,,,,
20/06/2019,2019,6,20,Mapathon IHS Markit,,Kenya,,IHS Markit,HCR,Jennifer Tschopp,HCR,,,,,,,,,
20/06/2019,2019,6,20,Mapathon Arvalis,6174,Kenya,Paris,Arvalis,HCR,"Jean Paul, Jean Yves",HCR,15,15,3306,20.2,,,,,
19/06/2019,2019,6,19,Mapathon Missing Maps à Lyon @Le Tuba,6068 - 5636,Kenya - RDC,Lyon,Le Tuba,HCR,Jeanne,HCR,11,12,3811 - 120,22.2 - 32.8,,,,,
28/05/2019,2019,5,28,Mapathon Missing Maps à Chambéry @Le Mug,6072,Niger,Chambéry,Le Mug,HCR,Jeanne,HCR,5,4,1425,,,,,,
22/05/2019,2019,5,22,Mapathon Missing Maps à Grenoble @La Turbine.Coop,5636,RDC,Grenoble,La Turbine.Coop,OSM RDC,Hana,OSM RDC,5,7,106,101.6,,,,,
21/05/2019,2019,5,21,Mapathon Missing Maps à Lyon @Le Tuba,"5891, 5636","Ethiopie, RDC",Lyon,Le Tuba,HCR,Jeanne,HCR,6,8,511,96.6 + 13,,,,,
21/05/2019,2019,5,21,Mapathon Ecoles de Mines d'Alès,"5890, 5891",Ethiopie,Alès,IMT Alès,HCR,Hana,HCR,10,12,"42, 139","4, 2.3",,,,,
15/05/2019,2019,5,15,Mapathon Missing Maps Age d'Or,5890,Ethiopie,Grenoble,Maison des Habitats,HCR,Hana + Océane et Hugo,HCR,14,20,68,0.7,,,,,
09/05/2019,2019,5,9,Mapathon Missing Maps Paris @ La Paillasse,5890,Ethiopie,Paris,La Paillasse,HCR,Jeanne,HCR,5,14,204,19.4,,,,,
07/05/2019,2019,5,7,Mapathon à l'IEDES,5889,Ethiopie,Nogent Sur Marne,IEDES,HCR,Jeanne,HCR,12,12,526,7.7,,,,,
23/04/2019,2019,4,23,Mapathon Missing Maps à Lyon @Le Tuba,"5861, 5889",Ethiopie,Lyon,Le Tubà,HCR,"Jeanne, Hana, Gagan",HCR,9,9,"679, 410","34.7, 5.3",,,,,
05/04/2019,2019,4,5,Mapathon Missing Maps Nuit de la Géo à Paris @ La Bellevilloise,5891,Ethiopie,Paris,La Bellevilloise,HCR,"Jeanne, Claire + béné",HCR,35,30,2033,68,,,,,
05/04/2019,2019,4,5,Mapathon Missing Maps Nuit de la Géo à Chambéry @Technolac,5636,RDC,Chambéry,Université Le Bourget,CartONG,"Martin, Gagan + AGS",HCR,20,40,381,201,,,,,
05/04/2019,2019,4,5,Mapathon Missing Maps Nuit de la Géo à Lyon @Hevea,"5847, 5891",Ethiopie,Lyon,Hévéa,HCR,Charlotte + béné + AGEAMS,HCR,20,35,2033 - 381,68,,,,,
05/04/2019,2019,4,5,#109 - HidroItuango 2 - Bajo Cauca,109,Colombie,Pau,Université UPPA,OSM Colombie,Delphine,,17,20,557,199,,,,,
05/04/2019,2019,4,5,Mapathon Missing Maps Nuit de la Géo à Perpignan @Université Via Domitia,5889,Ethiopie,Perpignan,Université Via Domitia,HCR,Bénévoles,,12,8,608,16.2,,,,,
05/04/2019,2019,4,5,Mapathon Missing Maps Nuit de la Géo à Brest @Fab Lab UBO,5636,Kalémie,Brest,UBO Open Factory,CartONG,Bénévoles,,15,12,381,201,,,,,
05/04/2019,2019,4,5,Mapathon Missing Maps Nuit de la Géo à Grenoble @IUGA,"5847, 5891",Ethiopie,Grenoble,IUGA,HCR,Manon + béné,,45,31,125 - 2033,68,,,,,
05/04/2019,2019,4,5,Mapathon Missing Maps Nuit de la Géo à Saint-Louis @Université Gaston Berger,690,Sénégal,Saint Louis,Université Gaston Berger,,Bénévoles,,14,23,,,,,,,
05/04/2019,2019,4,5,,,,Bamako,,,OSM Mali,,,,,,,,,,
05/04/2019,2019,4,5,,"Ouidah, Kétou",Bénin,Calavi, Université d’Abomey-Calavi ,DGAT-IGATE-LaCarto,Cartotourisme,,48,,13826 - 22122,1081 - 2587,,,,,
05/04/2019,2019,4,5,,,,Kinshasa,,,OSM RDC,,100,x,,,,,,,
05/04/2019,2019,4,5,,,,Tana,Université Ivo Tech Tana,,OSM Mada,,16,,,,,,,,
05/04/2019,2019,4,5,,,,Lomé,Faculté des Sciences et de la Société,,OSM Toog,,50,,,,,,,,
05/04/2019,2019,4,5,,,,Heidelberg,Université Heidelberg,,Melanie,,15,x,1030,87,,,,,
05/04/2019,2019,4,5,,,,Milan,Unicersité Politecnico di Milano,,Polimappers,,20,x,1588,,,,,,
05/04/2019,2019,4,5,,,,Würzburg,Université Würzburg,,,,20,x,1030,87,,,,,
05/04/2019,2019,4,5,Mapathon Missing Maps Nuit de la Géo à Besançon @ MSHE Ledoux,5636,Kalémie,Besançon,Maison des sciences de l'homme et de l'environnement,CartONG,Bénévoles,,15,21,381,201,,,,,
04/04/2019,2019,4,4,Mapathons Nuit de la Géographie Unilasalle Beauvais,5889,Ethiopie,Beauvais,UniLaSalle,HCR,Pierre Saulet,HCR,51,45,5003,142.5,,,,,
28/03/2019,2019,3,28,Mapathon Missing Maps à Chambéry @La Dynamo,5847,Ethiopie,Chambéry,La Dynamo,HCR,"Jeanne, Manon",HCR,26,18,2122,69.8,,,,,
12/03/2019,2019,3,12,Mapathon Missing Maps à Lyon @Le Tuba,5795,Haiti,Lyon,Le Tuba,Care France,"Jeanne, Gagan",Care France,10,9,836,2,,,,,
07/03/2019,2019,3,7,Mapathon Missing Maps Paris @ La Paillasse,5795,Haiti,Paris,La Paillasse,Care France,"Jeanne, Jean Yves",Care France,10,13,592,"0,6",,,,,
27/02/2019,2019,2,27,Mapathon Missing @La Bibliothèque de Centrale Lyon,5636,RDC,Ecully,Centrale Lyon,,Jeanne,,19,14,490,"302,2",,,,,
20/02/2019,2019,2,20,Mapathon IUGA,5758,Equateur,Grenoble,IUGA,Comité de réduction des risques,"Jeanne, Manon",Comité de réduction des risques,20,20,,,,,,,
14/02/2019,2019,2,14,Mapathon Missing Maps à Paris @ENSG,5654,Burkina Faso,Paris,ENSG,Yaam,"Jeanne, Camille + béné",Yaam,30,30,8096,55,,,,,
12/02/2019,2019,2,12,Mapathon Missing Maps à Paris @L'ESS'Pace,5654,Burkina Faso,Paris,L'Ess'Pace,Yaam,"Jeanne, Camille + béné",Yaam,21,40,2300,"43,55",,,,,
12/02/2019,2019,2,12,Mapathon Missing Maps à Lyon @Le Tuba,5654,Burkina Faso,Lyon,Le Tuba,Yaam,Manon,Yaam,16,20,0,0,,,,,
06/02/2019,2019,2,6,Mapathon Missing Maps @la Coop ,5654,Burkina Faso,Grenoble,La Péniche,Yaam,"Manon, Camille ",Yaam,12,6,2172,"42,5",,,,x,La Coop
30/01/2019,2019,1,30,Mapathon Missing Maps @le Mug,5654,Burkina Faso,Chambéry,Le Mug -> locaux CartONG,Yaam,"Manon, Jeanne, Camille ",Yaam,5,9,987,"64,6",,,,x,CartONG
23/01/2019,2019,1,23,Mapathon Missing Maps Saint Etienne @Université Jean Monnet,5654,Burkina Faso,Saint Etienne,Université Jean Monnet,Yaam,Camille,Yaam,26,26,6611,"115,8",,,,x,CartONG
22/01/2019,2019,1,22,Mapathon Missing Maps à Lyon @Le Tuba,5654,Burkina Faso,Lyon,Le Tuba,Yaam,"Jeanne, Gagan",Yaam,20,20,1783,47.8,,,,,
10/01/2019,2019,1,10,"1er Mapathon Missing Maps de l'année 2019 à Paris @LaPaillasse
",5654,Burkina Faso,Paris,La Paillasse,Yaam,Jeanne,Yaam,25,25,3156,"26,6",,,,,
19/12/2018,2018,12,19,Mapathon @l'ESS'Pace,5636,RDC,Paris,ESS'pace,OSM RDC,Camille,,9,15,2979,,,,,,
17/12/2018,2018,12,17,Mapthon CIA @Ivry-sur-Seine,5624,Algérie ,Paris,CHU Ivry-sur-Seine,HCR,Cécile + bénévoles ,HCR,25,9,,,,,,,
13/12/2018,2018,12,13,Mapathon @UBO Open Factory ,"3999, 4438, 4822, 4388, (5519)",Madagascar,Brest,UBO Open Factory,OSM Mada,Camille + Yuji ,,25,23,778,200,,"14,2",,,Mairie Brest
13/12/2018,2018,12,13,Mapathon @INSA Lyon,5527,Equateur,Lyon,INSA,EcoSur,Jeanne + Manon,EcoSur,19,16,2051,"116,6",,"20,9",,,
12/12/2018,2018,12,12,Mapathon MAMAPA - Manheim,,,Manheim,,,Robert,,17,17,,,,,,,
05/12/2018,2018,12,5,Mapathon @Université Jean Moulin,5571,Algérie ,Lyon,Univ. Jean Moulin Lyon 3,HCR,Jeanne + Camille + Gagan,HCR,20,22,3804,0,,,,,
30/11/2018,2018,11,30,Mapathon @INSEEC,5571,Algérie ,Chambéry,INSEEC,HCR,Jeanne + Camille ,HCR,67,60,3555,"5,8",,,,,
29/11/2018,2018,11,29,Mapathon @LeMug - MSF,5290,Kenya,Chambéry,Le Mug,MSF Belgique,Jeanne + Camille + Manon,MSF,20,17,273,"901,3",,"262,8",,,
28/11/2018,2018,11,28,Mapathon Missing Maps @ Nomade ,5268,Kenya,Bordeaux,Espace Nomade ,OSM Bordeaux,Camille ,Rombo Conservancy,7,5,901,"201,3",,"73,2",surtout validation sur JOSM,x,CartONG
27/11/2018,2018,11,27,Mapathon Université - Masters SIGMA,5268,Kenya,Toulouse,Université SIGMA,SIGMA,Camille + Olivier,Rombo Conservancy,20,20,2231,163,,"41,9",surtout validation sur JOSM,x,x
18/11/2018,2018,11,18,Mapathon Missing Maps - Karya (festival Thihar) ,5504,Népal,Thyez,Thyez (festival Tihar),"Karya, KLL",Manon + Camille ,Karya,20,,563,35,,"26,4",,,
15/11/2018,2018,11,15,Mapathon MAMAPA - Manheim,5446,Algérie,Manheim,,,Robert,HCR,30,30,,,,,,,
13/11/2018,2018,11,13,Mapathon Université - Masters géomatiques Cergy-Pontoise,5268,Kenya ,Paris ,Univ. Cergy-Pontoise,Rombo Conservancy ,Jeanne + Camille ,Rombo Conservancy ,25,50,2398,"286,4",,"201,2",,x,x
06/11/2018,2018,11,6,Mapathon Université - Masters ACAH ,5268,Kenya ,Chambéry,Univ. jacob Bellecombette ,Rombo Conservancy ,Jeanne + Camille ,Rombo Conservancy ,36,36,1989,"189,7",,"97,6",,,
18/10/2018,2018,10,18,Mapathon @ La Paillasse ,5268,Kenya ,Paris,La Paillasse ,Rombo Conservancy ,Camille et bénévoles ,Rombo Conservancy ,8,18,188 bâtiments,"129,7 km de routes",,"113,9 km de waterways",,,x
03/10/2018,2018,10,3,Mapathon Université - IUGA,4388,Madagascar ,Grenoble ,IUGA Grenoble ,PHF,"Manon, Camille ",,40,50,1599 bâtiments ,"449,9 km de routes
",,,,,IUGA
02/10/2018,2018,10,2,Mapathon Université - Paris VII,4388,Madagascar ,Paris ,Université Paris VII ,PHF,Martin + bénévoles parisiens,,52,50,579 bâtiments ,"180,4 km de routes ",,"57,9 km de waterways ",,,
27/09/2018,2018,9,7,Mapathon MAMAPA - Manheim,5446,Algérie,Manheim,,,Robert,HCR,30,30,,,,,,,
26/09/2018,2018,9,26,Mapathon EducAuRa - La Coop ,4388,Madagascar ,Grenoble ,La Péniche ,EducAuRa,"Manon, Cécile, Mathilde, Camille ",PHF,21,16,265 bâtiments ,"88,8 km de routes",,,,,La Coop 
21/09/2018,2018,9,21,Mapathon Missing Maps - Le Tubā,5268,Kenya ,Lyon ,Le Tubā,Rombo Conservancy ,"Manon, Camille ",Rombo Conservancy ,10,11,1144 bâtiments,,,"105,3 km de rivières ",,,x
20/09/2018,2018,9,20,Mapathon ScPo Urba - Paris,4979,Algérie ,Paris,SciencesPo Ecole Urbaine,SciencesPo Ecole Urbaine,"Manon, Cécile, Camille ",HCR,25,58,3695,,,,,,
18/09/2018,2018,9,18,Mapathon CIA - Nanterre,4979,Algérie ,Paris,CHU Nanterre,Aurore,"Manon, Cécile, Camille ",HCR,25,,43,,,,,,
05/09/2018,2018,9,5,Mapthon Karya - Ambérieu,4285,Népal,Ambérieux-en-Bugey,,Karya,Camille + Sylvie et Pierre de Karya,Karya,14,,137 bâtiments,,,,,,Karya
09/08/2018,2018,8,9,Mapathon CIA - Nanterre,4979,Algérie ,Paris,CHU Nanterre,BSF,Cécile + bénévoles ,HCR,25,,360,,,,,,
25/07/2018,2018,7,25,Mapathon HCR - Genève,4909,Soudan,Genève,HCR headquarters,HCR,"Manon, Maeve, Camille ",HCR,10,13,2279 bâtiments,,,,,,HCR
12/07/2018,2018,7,12,Mapathon BSF - Ivry sur seine // Formation WASH - Ouganda,4857,Ouganda,Paris // Ouganda,CHU Ivry sur seine,BSF,"Cécile, Camille + bénévoles",HCR,20,,686 bâtiments,34.5 km de route,,,,,x
11/07/2018,2018,7,11,Mapathon Science in the City - Toulouse ,4750,Madagascar,Toulouse,La mêlée ,Science in the City,Nicolas + bénévoles,Hi,9,14,527 bâtiments,161.3km de route,,,,,
05/07/2018,2018,7,5,Mapathon MAMAPA - Mannheim,"4750, 4822",Madagascar,Manheim,Mannheimer Abendakademie,,Robert ,Hi,24,,424 + 146 bâtiments,44.4  km de route,,,,,
28/06/2018,2018,6,24,Mapathon Terre des Hommes - Lausanne ,4805,Burkina Faso,Lausanne ,Siège de Tdh,Tdh,"Maeve, Camille, Martin",Tdh ,25,30,,,,29.1 km de waterways,57.82 km2 de forêts,,Tdh
18/06/2018,2018,6,18,Mapathon CCO Vileurbanne ,4768,Bangladesh,Lyon ,CCO,,"Colin, Camille, Cécile ",,14,14 + 5/6 SInga,1213 bâtiments,,,,,,CCO 
13/06/2018,2018,6,13,Mapathon coop Grenoble,4750,Madagascar,Grenoble,La péniche ,,"Manon, Camille ",Hi,8,13,284 bâtiments,,,72.8 km de cours d'eau,,,La péniche
09/06/2018,2018,6,9,Carto Party - Sport ensemble Handicap International ,,,Lyon ,Parc Gerland,,"Colin, Camille ",Hi,20,,,,,,,,
06/06/2018,2018,6,6,Mapathon la Pailliasse ,"4688, 4605",Bangladesh ,Paris,La Paillaisse ,,"Camille, colin + bénévole",,20,29,3623 bâtiments ,19.3 km de route,,,,,
04/06/2018,2018,6,4,Mapathon BSF - Ivry sur seine ,4651,Bangladesh ,Ivry-sur-Seine,CHU Ivry sur seine,,Cécile,,20,,345 bâtiments,,,,,x,x
23/05/2018,2018,5,23,Mapathon MAMAPA - Mannheim,4577,Burkina Faso,Manheim,Mannheimer Abendakademie,HCR,Robert ,HCR,14,,281 bâtiments,2.78 km de route,,,,,
03/05/2018,2018,5,3,Mapathon Lycée Argouge de Grenoble,,,Grenoble,Lycée Argouge ,,Colin ,,,,,,,,,,
18/04/2018,2018,4,18,Mapathon UBO Open Factory Brest,4438,Madagascar,Brest,UBO Open Factory ,,Colin ,,30,31,4583 batiments ,98 km de route,,,,,
12/04/2018,2018,5,12,Mapathon en soirée MSF ,4255,Kirkystan,Geneva,MSF,,"Martin, Colin + GIS Unit ",MSF,44,49,5741 bâtiments,167 km de route,,,,,
10/04/2018,2018,4,10,Mapathon MAMAPA - Mannheim,4371,Ouganda ,Manheim,Mannheimer Abendakademie,HOT - Uganda,Robert ,,15,,1799 bâtiments,6.5 km de routes,,,,,
10/04/2018,2018,4,11,Mapathon Geneva Health Forum - 10 au 12 avril en Français ,,Cameroun,Geneva,CICG,,Colin  Martin ,,9,12,400 bâtiments,,,,,,
06/04/2018,2018,4,6,Mapathon nuit de la Géo Paris,4388,Madagascar,Paris,Voir avec Claire ,,"Martin, Colin",,50,92,1648 bâtiments,263.3 km de route,,,,,
06/04/2018,2018,4,6,Mapathon la nuit de la Géo ,3679,Madagascar,Lyon,,,"Camille, Rene, bénévoles lyon ",,14,19,969 bâtiments,107.5 km de route,,,,,
