Date,Year,Month,Day,Title,Tasks,Requesting NGO (project),Region mapped,City,Place,Whom is confirmed to go,Mapathon Partner,Nb PREVU de participants,Nb REEL de participants,"Stats contribution
11/07/2018,2018,7,11,Mapathon Science in the City - Toulouse ,4750,Hi,Madagascar,Toulouse,La mêlée ,Nicolas + bénévoles,Science in the City,14,9,527 bâtiments,161.3km de route,
05/07/2018,2018,7,5,Mapathon MAMAPA - Mannheim,"4750, 4822",Hi,Madagascar,Manheim,Mannheimer Abendakademie,Robert ,,,24,424 + 146 bâtiments,44.4  km de route,
28/06/2018,2018,6,24,Mapathon Terre des Hommes - Lausanne ,4805,Tdh ,Burkina Faso,Lausanne ,Siège de Tdh,"Maeve, Camille, Martin",Tdh,30,25,,,
18/06/2018,2018,6,18,Mapathon CCO Vileurbanne ,4768,,Bangladesh,Lyon ,CCO,"Colin, Camille, Cécile ",,14 + 5/6 SInga,14,1213 bâtiments,,
13/06/2018,2018,6,13,Mapathon coop Grenoble,4750,Hi,Madagascar,Grenoble,La péniche ,"Manon, Camille ",,13,8,284 bâtiments,,
09/06/2018,2018,6,9,Carto Party - Sport ensemble Handicap International ,,Hi,,Lyon ,Parc Gerland,"Colin, Camille ",,,20,,,
06/06/2018,2018,6,6,Mapathon la Pailliasse ,"4688, 4605",,Bangladesh ,Paris,La Paillaisse ,"Camille, colin + bénévole",,29,20,3623 bâtiments ,19.3 km de route,
04/06/2018,2018,6,4,Mapathon BSF - Ivry sur seine ,4651,,Bangladesh ,Ivry-sur-Seine,CHU Ivry sur seine,Cécile,,,20,345 bâtiments,,
23/05/2018,2018,5,23,Mapathon MAMAPA - Mannheim,4577,HCR,Burkina Faso,Manheim,Mannheimer Abendakademie,Robert ,HCR,,14,281 bâtiments,2.78 km de route,
03/05/2018,2018,5,3,Mapathon Lycée Argouge de Grenoble,,,,Grenoble,Lycée Argouge ,Colin ,,,,,,
18/04/2018,2018,4,18,Mapathon UBO Open Factory Brest,4438,,Madagascar,Brest,UBO Open Factory ,Colin ,,31,30,4583 batiments ,98 km de route,
12/04/2018,2018,5,12,Mapathon en soirée MSF ,4255,MSF,Kirkystan,Geneva,MSF,"Martin, Colin + GIS Unit ",,49,44,5741 bâtiments,167 km de route,
10/04/2018,2018,4,10,Mapathon MAMAPA - Mannheim,4371,,Ouganda ,Manheim,Mannheimer Abendakademie,Robert ,HOT - Uganda,,15,1799 bâtiments,6.5 km de routes,
10/04/2018,2018,4,11,Mapathon Geneva Health Forum - 10 au 12 avril en Français ,,,Cameroun,Geneva,CICG,Colin  Martin ,,12,9,400 bâtiments,,
06/04/2018,2018,4,6,Mapathon nuit de la Géo Paris,4388,,Madagascar,Paris,Voir avec Claire ,"Martin, Colin",,92,50,1648 bâtiments,263.3 km de route,
06/04/2018,2018,4,6,Mapathon la nuit de la Géo ,3679,,Madagascar,Lyon,,"Camille, Rene, bénévoles lyon ",,19,14,969 bâtiments,107.5 km de route,
05/04/2018,2018,4,5,Mapathon interne partenaire Solidarités Suricats,,,Bangladesh,Paris,,"Martin, Colin",,,32,1000 bâtiments,71.8 km de route,
03/04/2018,2018,4,3,Mapathon coop Grenoble,3679,,Madagascar,Grenoble,La péniche ,Colin,,19,13,1400 bâtiments,100 km de route,
29/03/2018,2018,3,29,Mapathon intergénérationelle Lycée Louise Michel ,3679,,Madagascar,Grenoble,Lycée Louise Michel,Colin,,,35,400 bâtiments,100 km de route,
26/03/2018,2018,3,26,Mapathon préparation avec les lycéens de Louise Michel ,3679,,Madagascar,Grenoble ,Lycée Louise Michel,Colin,,,20,329 bâtiments,87.9 km de route,
08/03/2018,2018,3,8,Mapathon Social Good Week Paris,3679,PHF,Madagascar,Paris,LLL,Martin,,50,30,564 bâtiments,192 km de route,
07/03/2018,2018,3,7,Mapathon Social Good Week Lyon,3679,,Madagascar,Lyon,Ecole Centrale,"Colin, Camille ",,,20,1526 bâtiments,312.9 km de route,
28/02/2018,2018,2,28,Mapathon MAMAPA - Mannheim,4121,,Ouganda ,Manheim,Mannheimer Abendakademie,Robert ,HOT,,17,74 bâtiments,108.2 km de route,
28/02/2018,2018,2,28,Mapathon @ Les Petits Débrouillards,3679,,Madagascar,Clermont-Ferrand,Les Petits Débrouillards,Colin,,8,15,1000 bpatiments,200 km de route,
14/02/2018,2018,2,14,Mapathon université de Saint Etienne ,3679,,Madagascar,Saint Etienne ,Université Jean Monet ,Colin,,20,20,1500 bâtiments,400 km de route,
07/02/2018,2018,2,7,Mapathon à Paris 8,3679,,Madagascar,Paris,Université,"Colin, Claire",,30 (Neige du coup pas de déplacement),15,9 bâtiments,123.7 km de route,
30/01/2018,2018,1,30,Mapathon Atelier des médias ,4101,,Bangladesh,Lyon,Atelier des méias ,"Violaine, Colin",,25,25,6400 bâtiments,,
26/01/2018,2018,1,26,Mapathon lycée Louise michel ,,,Bangladesh,Grenoble,Louise Michel Lycée pro,Colin,,22,22,300 bâtiments,le mapathon était plus une présentation de CartONG et le fonctionnement de missing maps et d'une action humanitaire (questions des éléves),
25/01/2018,2018,1,25,Mapathon @ ESS'pace,4030,,Bangladesh,Paris,ESS'pace,Bénévoles,,37,24,2800 bâtiments,,
23/01/2018,2018,5,23,Mapathon MAMAPA - Mannheim,4577,HCR,Burkina Faso,Manheim,Mannheimer Abendakademie,Robert ,HCR,,16,281 bâtiments,2.7 km² de routes,
17/01/2018,2018,1,17,Mapathon département savoie,,,Haiti,Chambéry,Département de Savoie ,Colin Violaine,,,,,,
16/01/2018,2018,1,16,Mapathon à l'université de Genève ,4030,,Bangladesh,Genève,Université ,Colin,,32,32,2792 bâtiments,,
18/12/2017,2017,12,18,Mapathon Entreprise CGI Paris/Lyon,3941,,Tchad,"Paris, LYON",CGI,"Martin, Colin",,,20,1500 bâtiments ,,
15/12/2017,2017,12,15,Mapathon la cordée de la réussite,3946,,Congo,Paris,Télécom,Colin,Cordée de la réussite ,,10,500 bâtiments,,
13/12/2017,2017,12,13,Mapathon aux subsistances pour HI ,3941,,Tchad,Lyon,Subsistances ,"Martin, Colin",Handicap Internatinal,56,56,1455 bâtiments,,
19/11/2017,2017,11,19,Mapathon de cloture de l'OSMGeoweek à Villeurbanne @ CCO,"3720, 3831","OSM MADA, OSM Burkina Faso","Madagascar, Burkina Faso",Lyon,CCO,"Violaine, Colin",OSM Geoweek,40,40,3000 bâtiments ,150 KM de route,
16/11/2017,2017,11,16,Mapathon Paris ,3720,OSM Mada,Madagascar,Paris,LLL,Colin,OSM Geoweek,28,17,1325 bâtiments,,
15/11/2017,2017,11,15,Mapathon Grenoble à la Péniche ,1075,OSM Mali,Mali,Grenoble,La péniche,Colin,OSM Geoweek,26,33,6083 bâtiments,,
14/11/2017,2017,11,14,Mapathon Saint Etienne à Open Factory,102 (francophone),OSM Sénégal ,Sénégal,Saint Etienne,OpenFactory,Colin,OSM Geoweek,18,19,3053 bâtiments,,
13/11/2017,2017,11,13,Mapathon d'ouverture à l'OSMGeoWeek Chambéry @ Le MUG,3831,OSM Burkina Faso,Burkina Faso,Chambéry,Le Mug,"Colin, Martin",OSM Geoweek,14,17,2643 batiments,75 km routes,
26/10/2017,2017,10,26,Mapathon Paris @ Ess'pace,3730,,Bangladesh,Paris,Ess'pace,Colin,Techfugees,60,40,5723 batiments,,
24/10/2017,2017,10,24,Mapathon Lyon @ La Tour du Web,"3703, 3686",,Madagascar,Lyon,La Tour du We,"Violaine, Colin",,10,12,1273 batiments,,
19/10/2017,2017,10,19,Mapathon Brest @ UBO,3720,OSM Mada,Madagascar,Brest,UBO OpenFactory,"Violaine, Colin",Tiriad ,45,45,2751 batiments,,
28/09/2017,2017,9,28,Mapathon validation Lyon l'atelier des média s,3110,,Madagascar,Lyon,L'atelier des médias,"Violaine, Colin",,7,4,407 bâtiments ,10.9 km de route ,
21/09/2017,2017,9,21,Mapathon Missing Maps Paris @ Liberté Living Lab / urgence Mexique !,"3566, 3567, 3607, 3597",OSM MX,Mexico ,Paris,Liberté Living Lab ,Colin,,59,33,6728 bâtiments ,,
19/07/2017,2017,7,19,Mapathon FOSS4G @ Champs sur Marne,2608,ICRC,Goma,Paris,ENSG,Olivia,,29,35,3049 bâtiments ,50km de route,
04/07/2017,2017,7,4,Mapathon Validation Lyon,2333 (contrib) + 3110 (valid),PHF et chambé Ouahi,Vatomandry et Ouahigouya,Lyon,L'atelier des médias,"Violaine, Olivia",,,13,validation,,
29/06/2017,2017,6,29,Mapathon Nantes @ ENSA,2608 et 2333 pour validation,CICR et Chambéry Ouahigouya,Goma et Ouahigouya,Nantes,ENSA,Olivia et Antoine,,20,24,2091 bâtiments pour Goma,12km de route pour Goma,
28/06/2017,2017,6,28,Mapathon Brest @ UBO,2333,Chambéry Ouahigouya,Ouahigouya,Brest,UBO,Olivia et Yuji,,35,37, 250 bâtiments,739km de route,
15/06/2017,2017,6,15,Mapathon Toulouse @ HarryCow,2333,Chambéry Ouahigouya,Ouahigouya,Toulouse,HarryCow,Olivia et Nicolas Decoster,Magellium,20,25,142 bâtiments,635km de routes ,
14/06/2017,2017,6,14,Mapathon Bordeaux @ Nomade,2333,Chambéry Ouahigouya,Ouahigouya,Bordeaux et Périgueux,Nomade pour Bordeaux et l'Escale Numérique pour Périgueux,Olivia et Paul pour Périgueux,MSF Log et Num&Lib,30,25,538 bâtiments ,740km de route,
07/06/2017,2017,6,7,Mapathon Chambéry le Mug,2333,Chambéry Ouahigouya,Ouahigouya,Chambéry,Le Mug,Martin,,7,14,cf. stats Paris le même soir,,
07/06/2017,2017,6,7,Mapathon Paris @ FPH,2333,Chambéry Ouahigouya,Ouahigouya,Paris,FPH,Olivia,,22,17,860 bâtiments,550 km de route,
31/05/2017,2017,5,31,Mapathon Avignon La Salle EducOSM,3110,Pompiers humanitaires français,"Vatomandry, Madagascar",Avignon,La Salle,Violaine et Olivia,PHF,3 classes de 20 élèves environ,60,4609 bâtiments ,70km de route,
17/05/2017,2017,5,17,Mapathon Le Mug 2 Aix les Bains,2333,Chambéry Ouahigouya,Ouahigouya,Aix les Bains,Le Mug 2,Olivia,,5,6,89 bâtiments ,91km route,
11/05/2017,2017,5,11,Mapathon Grenoble,2333,Chambéry Ouahigouya,Ouahigouya,Grenoble,La Coop,Olivia,,11,10,1582 bâtiments,40.3 km de route,
10/05/2017,2017,5,10,Mapathon Lyon,2333,Chambéry Ouahigouya,Ouahigouya,Lyon,L'atelier des médias,Violaine ,,,6,400 bâtiments,7.5km de route,
04/05/2017,2017,5,4,Mapathon Paris - Mai,2608,CICR & MSF,Goma,Paris,La Paillasse,Olivia,MSF,45,35,2764 bâtiments,,
03/05/2017,2017,5,3,Mapathon Université Genève,2608,CICR,Goma,Genève,Université Genève,Olivia,Mouvement des étudiants en géographie,20,15,1135 bâtiments,,
13/04/2017,2017,4,13,Mapathon Chambéry Université,2705,,"Bidibidi zone 1, Ouganda",Chambéry,Université Chambéry,Martin,,,10,664 bâtiments,33.4km de route,
13/04/2017,2017,4,13,Mapathon Paris ,2705,MSF,"Bidibidi zone 1, Ouganda",Paris,La Paillasse,Olivia,MSF,50,30,2848 bâtiments ,43.6km de route,
09/04/2017,2017,4,9,Mapathon Rennes ,2333,Chambéry Ouahigouya,Ouahigouya ,Bréteil ,Mairie de Bréteil,Violaine,,pas d'inscriptions,4,,40 km de routes wouhou,
23/03/2017,2017,3,23,Mapathon Interne MSF,2705,MSF,"Yumbe, Ouganda (Zone 1)",Paris,,Martin,,/,20,1400 bâtiments,,
22/03/2017,2017,3,22,Mapathon festival SIANA,2333,Chambéry Ouahigouya,Ouahigouya ,Evry,Université ,"Martin, Olivia",,/,35,700 bâtiments,500 routes ,
19/03/2017,2017,3,19,Atelier Missing Maps Maker Faire,2608,ICRC,Goma,Grenoble,Maker Faire,"Martin, Olivia","La Coop, La Péniche",,5,1400 bâtiments,,
15/03/2017,2017,3,15,MM Mapathon ,2333,Chambéry Ouahigouya,Ouahigouya ,Toulouse,Catalyseur,"Violaine, Olivia",Aerospace Valley Université Toulouse 3 FabSpace2.0,65,37,2768 bâtiments,,
09/03/2017,2017,3,9,MM Solidarités International,2636,Solidarités International,"Borno, Nigeria",Paris,,"Martin, Olivia",,45,43,5000 bâtiments,500 routes (Muna) + 800 bâtiments (Monguno),
02/02/2017,2017,2,2,MM Genève Humanitarium,"2480, 2483",CICR,"Ngao, Kenya",Genève,ICRC Humanitarium,"Violaine, Martin, Maeve",ICRC IFRC,104,90,2640 bâtiments,243 km roads,
16/01/2017,2017,1,16,MM Avancé Lyon,2333,Chambéry Ouahigouya,Ouahigouya,Lyon,CCO Villeurbanne,Violaine,,10,14,2800 bâtiments,350 km de routes,
20/12/2016,2016,12,20,Missing Maps in Lyon,"#2333 
",Chambéry Ouahigouya,Ouahigouya,"Lyon
",,Violaine,,15,17,1430 bâtiments,35 km de routes,
15/12/2016,2016,12,15,Missing Maps Madagascar (Pau-Antsiranana),"#2334, #2327",SAHI,"Diana, MG",Pau,,Benoît,,15,17,337 bâtis,33km,
08/12/2016,2016,12,8,OGP,"#2333 
",Chambéry Ouahigouya,Ouahigouya,Paris,Liberté Living Lab,Martin,,89,90,7125 batiments,192km routes,
06/12/2016,2016,12,6,MSF interne,2379,"MSF
","Yumbe, Ouganda","Paris
",,Martin,,/,18,3600 batiments,,
19/11/2016,2016,11,19,#100mapathons Missing Maps Chambéry-Ouahigouya,"#2333 
",Chambéry Ouahigouya,Ouahigouya,Chambéry,Médiathèque Jean-Jaques Rousseau,"Violaine, Martin",,14,17,4170 bâtiments,100 routes pour 70 km,
18/11/2016,2016,11,18,#100mapathons Missing Maps Diégo-Bordeaux,#2317,SAHI,"Diana, MG",Bordeaux ,Maison des étudiants,"Violaine, Vincent",,-,18,1817 bâtiments,,
16/11/2016,2016,11,16,#100mapathons Missing Maps Ambérieu SSI,#2315,SAHI,"Diana, MG",Amberieu,MJC Ambérieu,Violaine,,6,15,550 bâtiments,,
12/11/2016,2016,11,12,#100mapathons Mapathon Ivry-Dianguirdé,"Dianguirdé #2215, Koussané #2266",Ivry-sur-Seine,Dianguirdé,Ivry-sur-Seine,,Martin,,24 (9 eventbrite et 15 asso malienne locale),25-30,,337 km routes,
07/11/2016,2016,11,7,,Mwenezi #2286,MSF,Zimbabwe,Vienne,,Martin,,/,40,,,
27/10/2016,2016,10,27,,Nsanje #2240,MSF,Malawi,Saint Denis,Paris 8,Violaine,Master Géomatique Paris 8,14,15,,50 km routes,
18/10/2016,2016,10,18,,Nsanje #2240 #2171 #2192,MSF,Malawi,Chambé GeOnG,Centre de Congrès le Manège,Violaine,,,50,650 bâtiments,350 km ,
04/10/2016,2016,10,4,Missing Maps Paris #6,,MSF,,Paris,La Ruche Canal,Martin,,27,25,?,,
19/09/2016,2016,9,19,,Intégration avancée dans OSM,,"RDC, Sud Soudan, Tchad...",Lyon ,,Violaine,,10,10,-,,
12/07/2016,2016,7,12,,1910,MSF,"Bunia, RDC",Lyon,,Violaine,,30,25,923 bâtiments,100km routes,
09/06/2016,2016,6,9,,1808;1910,"Tdh, MSF","Irak, RDC",Paris,,"Johan, Claire",,35,30,2500 bâtiments,,
24/05/2016,2016,5,24,,"1808, 1816, 1817",Tdh,"Tikrit, Irak, Bangladesh",Toulouse,,Violaine,,38,29,Tikrit: 654 bâtiments,"Tikrit: 17 routes
Ghogadaha: 50 routes ",
22/05/2016,2016,5,22,,"1808, 1816, 1817",Tdh,"Tikrit, Irak, Bangladesh",Clermont,Groupe ESC Clermont (SOTM),"Violaine, martin, johan",OSM France,,,"#1808 : 300 bâtiments 
#1816 : 60 bâtiments","#1808 : 20 km de routes 
#1816 :30 km routes",
18/05/2016,2016,5,18,,1910,msf ch,"Bunia, RDC",Genève,MSF Suisse,"Violaine,Martin",,17,"20 (+11 Gre, +3 OSM Africains)",5000 bâtiments,245 routes soit 32km,
18/05/2016,2016,5,18,,1910,msf ch,"Bunia, RDC",Grenoble,La Coop,Adam,Maptime Alpes,11,11,5000 bâtiments,245 routes soit 32km,
17/05/2016,2016,5,17,,1808,Tdh,"Tikrit, Irak",Rennes,Pole Numérique de Rennes Villejean,Martin,Master SIGAT Université Rennes 2,13 inscrits (mais prévu que +),15,1433 bâtiments ,76.5km highway,
13/05/2016,2016,5,13,,1816,Tdh,"Ghogadaha, Bangladesh",Marseille,La Ruche,Violaine,Maison Asie Pacifique,14,15,90 bâtiments,100 routes,
22/04/2016,2016,4,22,,"1808 (irak),1818 (bangladesh)",Tdh,"Irak, Bangladesh",Lausanne,Terre des Hommes,Violaine,,29,22,Tikrit : 1352 bâtiments,"Tikrit : 5km route
1818 : 5 km route
",
07/04/2016,2016,4,7,,"1695, 1566",MSF-UK,RDC-SudKivu/Katanga,Paris ,Mozilla,Violaine,,70,45,2880 bâtiments,1000 highways (170km),
31/03/2016,2016,3,31,,1668/1669,MSF-Suisse,"Harare, capital of Zimbabwe",Bordeaux ,Nomade,Violaine,Num&Lib,39,35-40,2600 bâtiments,65 km de routes,
14/03/2016,2016,3,14,,1668/1669,MSF-Suisse,"Harare, capital of Zimbabwe",Lyon,CCO Villeurbanne,Violaine,Festival mémoire Vive,30,30,3800 bâtis (!!!),200 km de routes,
23/02/2016,2016,2,23,,1465 1466 1467,MSF-Suisse,Mozambique (East of Tete province),Grenoble,Co-Work,Violaine,"Idées Territoires, Maptime Alpes",25,35,800 bâtis,1275 km de routes,
11/02/2016,2016,2,11,,1428 1477 1465 1466 1494,MSF-Fr,Ouganda,Paris - MSF,Mozilla,Violaine,MSF,70,60,presque 700 bâtiments,1700 km de routes,
03/02/2016,2016,2,3,,1467 1465 1466 ,MSF-Suisse,Mozambique (East of Tete province),Chambery,Université de Savoie,Violaine,PRISM,10,15,800 bâtiments,1200 routes,
18/12/2015,2015,12,18,,"1342, 1390",MSF,"Nsanje, Malawi",Lyon,CCO Villeurbanne,"Martin,Violaine",,32,20,3000 batiments,320 portions de routes,
17/11/2015,2015,11,17,,1343,MSF,"Mozambique, Nord Tete",Chambéry,Le Mug,Martin,Chambé-Carnet,17,,,1200 routes,
05/11/2015,2015,11,5,Mapathon Missing Maps Paris #1,1262,,"Lubumbashi, RDC",Paris,La Ruche,"Martin,Violaine",Social Good Week,62,50,5000 bâtis,,
28/10/2015,2015,10,28,,?,,Afghanistan,Grenoble,,"Martin, Maeve",,,10,,,
06/12/2014,2014,12,6,Lancement projet Missing Maps,?,MSF,?,Paris,Simplon Montreuil,"Martin, Maeve",,,,,,